Time (hr:min),counts/sec
00:56,37.5
01:06,36.642
01:16,36.933
01:26,37.747
01:36,35.473
01:46,38.411
01:56,36.136
02:06,36.459
02:16,37.286
02:26,36.685
02:36,37.05
02:46,36.205
02:56,36.061
03:06,35.233
03:16,36.42
03:26,36.664
03:36,37.013
03:46,37.886
03:56,36.936
04:06,36.751
04:16,38.079
04:26,36.261
04:36,37.367
04:46,36.622
04:56,37.294
05:06,37.027
05:16,38.096
05:26,37.449
05:36,37.22
05:46,37.916
05:56,38.431
06:06,39.107
06:16,39.927
06:26,37.867
06:36,40.277
06:46,39.727
06:56,40.233
07:06,39.731
07:16,40.085
07:26,41.437
07:36,39.974
07:46,39.963
07:56,41.522
08:06,42.587
08:16,42.902
08:26,41.547
08:36,42.248
08:46,42.385
08:56,42.476
09:06,43.178
09:16,42.706
09:26,45.503
09:36,45.154
09:46,46.228
09:56,44.838
10:06,46.302
10:16,46.149
10:26,46.725
10:36,46.725
10:46,47.592
10:56,47.404
11:06,48.775
11:16,47.753
11:26,48.711
11:36,50.353
11:46,49.458
11:56,49.01
12:06,49.915
12:16,51.809
12:26,50.489
12:36,51.213
12:46,51.36
12:56,52.667
13:06,54.14
13:16,52.291
13:26,53.79
13:36,53.445
13:46,53.345
13:56,52.762
14:06,53.329
14:16,54.285
14:26,54.472
14:36,53.769
14:46,54.079
14:56,54.481
15:06,56.366
15:16,54.498
15:26,55.03
15:36,53.907
15:46,54.264
15:56,56.294
16:06,54.577
16:16,55.627
16:26,56.26
16:36,55.46
16:46,54.645
16:56,54.893
17:06,52.962
17:16,52.388
17:26,52.99
17:36,53.468
17:46,52.794
17:56,51.418
18:06,51.23
18:16,52.776
18:26,52.985
18:36,49.735
18:46,51.775
18:56,50.759
19:06,49.668
19:16,49.522
19:26,50.767
19:36,49.438
19:46,49.767
19:56,49.362
20:06,47.523
20:16,47.489
20:26,48.229
20:36,46.444
20:46,46.473
20:56,46.709
21:06,46.081
21:16,45.806
21:26,45.313
21:36,45.513
21:46,45.576
21:56,45.347
22:06,44.323
22:16,45.513
22:26,45.187
22:36,43.933
22:46,44.667
22:56,42.372
23:06,42.018
23:16,43.242
23:26,40.576
23:36,41.891
23:46,42.522
23:56,41.803
00:06,40.544
00:16,41.047
00:26,41.87
00:36,41.564
00:46,41.507
00:56,41.032
01:06,40.511
01:16,40.24
01:26,40.396
01:36,39.433
01:46,38.849
01:56,39.033
02:06,39.675
02:16,38.202
02:26,38.252
02:36,39.381
02:46,38.843
02:56,38.354
03:06,37.913
03:16,40.272
03:26,38.977
03:36,39.825
03:46,38.563
03:56,38.302
04:06,39.55
04:16,38.709
04:26,37.848
04:36,40.333
04:46,40.543
04:56,38.99
05:06,40.064
05:16,39.857
05:26,38.325
05:36,39.392
05:46,40.453
05:56,38.795
06:06,41.269
06:16,39.705
06:26,39.602
06:36,41.73
06:46,39.746
06:56,41.915
07:06,39.672
07:16,40.707
07:26,41.448
07:36,41.471
07:46,39.403
07:56,40.73
08:06,40.888
08:16,41.809
08:26,41.76
08:36,41.735
08:46,40.908
08:56,42.219
09:06,43.87
09:16,43.556
09:26,42.77
09:36,42.242
09:46,43.442
09:56,45.224
10:06,42.837
10:16,44.326
10:26,45.055
10:36,44.783
10:46,45.591
10:56,44.624
11:06,46.448
11:16,45.596
11:26,47.05
11:36,43.989
11:46,47.05
11:56,48.473
12:06,48.378
12:16,47.711
12:26,47.281
12:36,49.763
12:46,47.648
12:56,48.418
13:06,49.467
13:16,48.372
13:26,47.695
13:36,49.8
13:46,50.182
13:56,47.911
14:06,48.843
14:16,51.231
14:26,49.956
14:36,49.927
14:46,50.641
14:56,50.43
15:06,50.343
15:16,49.095
15:26,49.512
15:36,51.086
15:46,50.192
15:56,50.301
16:06,50.474
16:16,49.65
16:26,49.578
16:36,49.365
16:46,51.78
16:56,51.504
17:06,50.754
17:16,50.725
17:26,51.472
17:36,51.354
17:46,50.301
17:56,52.147
18:06,50.234
18:16,50.957
18:26,50.692
18:36,50.457
18:46,51.135
18:56,50.504
19:06,49.555
19:16,49.053
19:26,51.656
19:36,49.394
19:46,49.143
19:56,48.226
20:06,46.163
20:16,48.562
20:26,48.984
20:36,48.821
20:46,48.875
20:56,47.536
21:06,47.062
21:16,47.354
21:26,47.764
21:36,46.406
21:46,46.904
21:56,46.001
22:06,45.41
22:16,44.345
22:26,46.411
22:36,45.184
22:46,45.197
22:56,46.093
23:06,46.691
23:16,45.897
23:26,44.931
23:36,44.761
23:46,44.575
23:56,44.23
00:06,42.823
00:16,43.873
00:26,41.671
00:36,43.844
00:46,42.432
00:56,41.069
01:06,42.113
01:16,41.199
01:26,40.424
01:36,42.069
01:46,40.635
01:56,40.667
02:06,40.977
02:16,41.813
02:26,40.191
02:36,41.112
02:46,41.458
02:56,41.355
03:06,41.564
03:16,40.797
03:26,41.102
03:36,40.51
03:46,39.82
03:56,38.899
04:06,39.982
04:16,39.64
04:26,39.337
04:36,39.107
04:46,39.036
04:56,40.298
05:06,39.768
05:16,39.268
05:26,40.42
05:36,41.334
05:46,39.569
05:56,39.775
06:06,39.918
06:16,40.113
06:26,40.179
06:36,39.358
06:46,40.361
06:56,40.899
07:06,40.078
07:16,40.149
07:26,42.379
07:36,40.896
07:46,40.463
07:56,41.55
08:06,41.11
08:16,40.586
08:26,41.078
08:36,40.645
08:46,41.936
08:56,40.437
09:06,42.292
09:16,41.106
09:26,42.62
09:36,42.409
09:46,43.47
09:56,41.019
10:06,41.562
10:16,42.664
10:26,42.005
10:36,43.523
10:46,43.308
10:56,41.648
11:06,44.444
11:16,43.922
11:26,43.425
11:36,42.609
11:46,43.135
11:56,42.423
12:06,43.77
12:16,43.178
12:26,44.282
12:36,42.979
12:46,42.752
12:56,43.125
13:06,44.828
13:16,45.358
13:26,44.743
13:36,44.972
13:46,45.788
13:56,45.344
14:06,45.845
14:16,45.015
14:26,45.931
14:36,45.387
14:46,45.659
14:56,47.721
15:06,44.929
15:16,46.289
15:26,45.501
15:36,46.332
15:46,47.835
15:56,46.323
16:06,47.436
16:16,46.981
16:26,47.492
16:36,47.476
16:46,47.316
16:56,48.057
17:06,46.349
17:16,48.225
17:26,47.515
17:36,47.494
17:46,47.52
17:56,47.098
18:06,47.242
18:16,47.136
18:26,46.883
18:36,46.9
18:46,45.993
18:56,48.496
19:06,47.796
19:16,46.869
19:26,46.907
19:36,46.282
19:46,45.661
19:56,47.192
20:06,46.602
20:16,47.554
20:26,48.082
20:36,45.445
20:46,46.102
20:56,45.277
21:06,46.973
21:16,44.318
21:26,44.784
21:36,45.017
21:46,45.961
21:56,43.399
22:06,46.046
22:16,44.439
22:26,45.517
22:36,44.035
22:46,46.26
22:56,44.927
23:06,43.966
23:16,43.833
23:26,44.656
23:36,43.913
23:46,43.344
23:56,42.069
00:06,43.382
00:16,42.468
00:26,43.589
00:36,42.607
00:46,43.567
00:56,43.191
01:06,42.468
01:16,42.936
01:26,42.433
01:36,42.27
01:46,40.904
01:56,42.469
02:06,41.373
02:16,42.594
02:26,41.756
02:36,42.445
02:46,40.402
02:56,42.383
03:06,42.81
03:16,41.292
03:26,41.564
03:36,41.368
03:46,41.191
03:56,41.024
04:06,40.002
04:16,40.418
04:26,39.912
04:36,40.912
04:46,40.97
04:56,40.683
05:06,41.173
05:16,41.183
05:26,38.648
05:36,40.233
05:46,39.553
05:56,40.239
06:06,38.347
06:16,41.422
06:26,40.153
06:36,40.377
06:46,40.283
06:56,42.027
07:06,41.892
07:16,39.544
07:26,39.878
07:36,40.448
07:46,40.288
07:56,40.193
08:06,38.87
08:16,39.562
08:26,39.488
08:36,41.573
08:46,40.965
08:56,39.583
09:06,40.549
09:16,38.838
09:26,41.231
09:36,40.197
09:46,41.995
09:56,40.427
10:06,40.428
10:16,40.765
10:26,41.392
10:36,41.912
10:46,41.401
10:56,41.196
11:06,41.081
11:16,41.568
11:26,41.747
11:36,42.745
11:46,41.098
11:56,40.31
12:06,41.093
12:16,42.267
12:26,41.531
12:36,41.702
12:46,41.156
12:56,42.296
13:06,41.738
13:16,42.971
13:26,43.325
13:36,41.639
13:46,42.022
13:56,43.35
14:06,42.742
14:16,43.847
14:26,43.109
14:36,42.65
14:46,43.641
14:56,42.508
15:06,42.891
15:16,43.97
15:26,44.317
15:36,43.613
15:46,45.707
15:56,43.085
16:06,44.702
16:16,43.371
16:26,43.247
16:36,44.926
16:46,43.87
16:56,43.878
17:06,44.257
17:16,44.16
17:26,42.72
17:36,42.595
17:46,45.34
17:56,45.091
18:06,43.06
18:16,44.78
18:26,43.428
18:36,43.813
18:46,44.463
18:56,43.156
19:06,45.806
19:16,46.617
19:26,44.259
19:36,44.575
19:46,45.425
19:56,44.425
20:06,45.265
20:16,43.949
20:26,44.737
20:36,44.025
20:46,44.488
20:56,45.415
21:06,45.276
21:16,45.331
21:26,43.865
21:36,44.414
21:46,43.827
21:56,43.683
22:06,42.983
22:16,43.916
22:26,43.427
22:36,44.592
22:46,44.091
22:56,43.442
23:06,43.304
23:16,43.149
23:26,44.084
23:36,44.256
23:46,43.451
23:56,42.053
00:06,43.425
00:16,42.803
00:26,41.719
00:36,43.922
00:46,42.678
00:56,42.335
01:06,43.495
01:16,43.455
01:26,42.654
01:36,42.94
01:46,42.521
01:56,41.61
02:06,42.71
02:16,41.928
02:26,40.395
02:36,43.097
02:46,41.588
